Fort Dobbs, 1958
Fort Massacre, 1958
Frankenstein 1970, 1958
Frankenstein's Daughter, 1958
Fraulein, 1958
From Hell to Texas, 1958
From the Earth to the Moon, 1958
Frontier Gun, 1958
Gang War, 1958
The Geisha Boy, 1958
Ghost of the China Sea, 1958
The Gift of Love, 1958
Gigi, 1958
The Girl Most Likely, 1958
Girl in the Woods, 1958
Girl on the Run, 1958
Girls on the Loose, 1958
God's Little Acre, 1958
The Goddess, 1958
Going Steady, 1958
Gun Fever, 1958
Gunman's Walk, 1958
The Gun Runners, 1958
Gunsmoke in Tucson, 1958
Handle with Care, 1958
Harry Black, 1958
Hell's Five Hours, 1958
The High Cost of Loving, 1958
High Hell, 1958
High School Confidential, 1958
Home Before Dark, 1958
Hong Kong Confidential, 1958
The Hot Angel, 1958
Hot Car Girl, 1958
Hot Rod Gang, 1958
Hot Spell, 1958
Houseboat, 1958
How to Make a Monster, 1958
The Hunters, 1958
I Accuse!, 1958
I Bury the Living, 1958
I Married a Monster from Outer Space, 1958
I Married a Woman, 1958
I, Mobster, 1958
I Want to Live!, 1958
Imitation General, 1958
In Love and War, 1958
In the Money, 1958
Indiscreet, 1958
The Inn of the Sixth Happiness, 1958
Invisible Avenger, 1958
Island Women, 1958
It! The Terror from Beyond Space, 1958
Jet Attack, 1958
Johnny Rocco, 1958
Joy Ride, 1958
Juvenile Jungle, 1958
Kathy O', 1958
The Key, 1958
King Creole, 1958
Kings Go Forth, 1958
Knighty Knight Bugs, 1958
The Lady Takes a Flyer, 1958
Lafayette Escadrille, 1958
The Last Hurrah, 1958
The Last of the Fast Guns, 1958
The Law and Jake Wade, 1958
The Left Handed Gun, 1958
Let's Rock, 1958
Life Begins at 17, 1958
The Light in the Forest, 1958
The Lineup, 1958
Live Fast, Die Young, 1958
Lonelyhearts, 1958
The Lone Ranger and the Lost City of Gold, 1958
The Long, Hot Summer, 1958
Lost, Lonely and Vicious, 1958
Lost Lagoon, 1958
The Lost Missile, 1958
Macabre, 1958
Machete, 1958
Machine-Gun Kelly, 1958
Man in the Shadow, 1958
Man from God's Country, 1958
Man of the West, 1958
Man or Gun, 1958
The Man Who Died Twice, 1958
Maracaibo, 1958
Mardi Gras, 1958
Marjorie Morningstar, 1958
The Matchmaker, 1958
Me and the Colonel, 1958
Merry Andrew, 1958
Missile to the Moon, 1958
The Missouri Traveler, 1958
Money, Women and Guns, 1958
Monster on the Campus, 1958
A Movie, 1958
The Mugger, 1958
Murder by Contract, 1958
The Naked and the Dead, 1958
The Naked Earth, 1958
The Naked Maja, 1958
A Nice Little Bank That Should Be Robbed, 1958
No Place to Land, 1958
No Time for Sergeants, 1958
The Notorious Mr. Monks, 1958
Oil's Well That Ends Well, 1958
The Old Man and the Sea, 1958
Once Upon a Horse..., 1958
Onionhead, 1958
Outcasts of the City, 1958
Paris Holiday, 1958
The Party Crashers, 1958
Party Girl, 1958
The Perfect Furlough, 1958
Pies and Guys, 1958
Pre-Hysterical Hare, 1958
The Proud Rebel, 1958
Quantrill's Raiders, 1958
Queen of Outer Space, 1958
The Quiet American, 1958
Quiz Whizz, 1958
Rally Round the Flag, Boys!, 1958
Raw Wind in Eden, 1958
The Reluctant Debutante, 1958
The Restless Years, 1958
The Return of Dracula, 1958
Return of the Fly, 1958
Return to Warbow, 1958
Revolt in the Big House, 1958
Ride a Crooked Trail, 1958
Robin Hood Daffy, 1958
Robin Hoodwinked, 1958
Rock-A-Bye Baby, 1958
The Roots of Heaven, 1958
Royal Cat Nap, 1958
Run Silent, Run Deep, 1958
Rx Murder, 1958
Saddle the Wind, 1958
The Saga of Hemp Brown, 1958
Screaming Mimi, 1958
The Screaming Skull, 1958
Senior Prom, 1958
Separate Tables, 1958
Seven Hills of Rome, 1958
The Seventh Voyage of Sinbad, 1958
She Demons, 1958
She Gods of Shark Reef, 1958
The Sheepman, 1958
Showdown at Boot Hill, 1958
Sierra Baron, 1958
Sing, Boy, Sing, 1958
Some Came Running, 1958
The Son of Robin Hood, 1958
South Pacific, 1958
The Space Children, 1958
Space Master X-7, 1958
St. Louis Blues, 1958
Stage Struck, 1958
Stakeout on Dope Street, 1958
Step Down to Terror, 1958
Street of Darkness, 1958
Suicide Battalion, 1958
Summer Love, 1958
Sweet and Hot, 1958
Tarawa Beachhead, 1958
The Tarnished Angels, 1958
Tarzan's Fight for Life, 1958
Teacher's Pet, 1958
Teenage Cave Man, 1958
Ten Days to Tulara, 1958
Ten North Frederick, 1958
Terror from the Year 5000, 1958
Terror in a Texas Town, 1958
The Thing That Couldn't Die, 1958
This Angry Age, 1958
This Happy Feeling, 1958
Thundering Jets, 1958
Thunder Road, 1958
A Time to Love and a Time to Die, 1958
Tom Thumb, 1958
Tonka, 1958
Too Much, Too Soon, 1958
Torpedo Run, 1958
Tortilla Flaps, 1958
Tot Watchers, 1958
Touch of Evil, 1958
Toughest Gun in Tombstone, 1958
The True Story of Lynn Stuart, 1958
The Tunnel of Love, 1958
Twilight for the Gods, 1958
Underwater Warrior, 1958
Vertigo, 1958
The Vikings, 1958
Violent Road, 1958
Villa!!, 1958
Voice in the Mirror, 1958
War of the Colossal Beast, 1958
War of the Satellites, 1958
When Hell Broke Loose, 1958
White Wilderness, 1958
The Whole Truth, 1958
Wild Heritage, 1958
Wild Women of Wongo, 1958
Wind Across the Everglades, 1958
Windjammer, 1958
Wink of an Eye, 1958
Wolf Dog, 1958
Wolf Larsen, 1958
The World Was His Jury, 1958
Young and Wild, 1958
The Young Lions, 1958
-30-, 1959
4D Man, 1959
The 30 Foot Bride of Candy Rock, 1959
Alaska Passage, 1959
Al Capone, 1959
Alias Jesse James, 1959
The Alligator People, 1959
Anatomy of a Murder, 1959
The Angry Hills, 1959
The Angry Red Planet, 1959
Arson for Hire, 1959
The Atomic Submarine, 1959
Ask Any Girl, 1959
Attack of the Giant Leeches, 1959
The Bat, 1959
Battle Flame, 1959
Battle of the Coral Sea, 1959
Beast from Haunted Cave, 1959
The Beat Generation, 1959
Behemoth, the Sea Monster, 1959
Beloved Infidel, 1959
Ben-Hur, 1959
The Best of Everything, 1959
The Big Circus, 1959
The Big Fisherman, 1959
The Big Operator, 1959
The Black Orchid, 1959
Blood and Steel, 1959
The Blue Angel, 1959
Blue Denim, 1959
Bonanza Bunny, 1959
Born to Be Loved, 1959
A Bucket of Blood, 1959
But Not for Me, 1959
Career, 1959
Cast a Long Shadow, 1959
City of Fear, 1959
Compulsion, 1959
The Cosmic Man, 1959
Count Your Blessings, 1959
Counterplot, 1959
Crime and Punishment U.S.A., 1959
The Crimson Kimono, 1959
Cry Tough, 1959
Cuban Rebel Girls, 1959
Curse of the Undead, 1959
Darby O'Gill and the Little People, 1959
Date with Death, 1959
Day of the Outlaw, 1959
Desert Desperadoes, 1959
The Devil's Disciple, 1959
The Diary of Anne Frank, 1959
A Dog of Flanders, 1959
A Dog's Best Friend, 1959
Don't Give Up the Ship, 1959
Donald in Mathmagic Land, 1959
Edge of Eternity, 1959
Escort West, 1959
The FBI Story, 1959
Face of a Fugitive, 1959
Face of Fire, 1959
First Man into Space, 1959
Five Gates to Hell, 1959
The Five Pennies, 1959
The Flying Fontaines, 1959
For the First Time, 1959
Forbidden Island, 1959
The Four Skulls of Jonathan Drake, 1959
Frontier Rangers, 1959
The Fugitive Kind, 1959
Gangster Story, 1959
The Gazebo, 1959
The Gene Krupa Story, 1959
The Giant Gila Monster, 1959
Gidget, 1959
Girls Town, 1959
Good Day for a Hanging, 1959
The Great St. Louis Bank Robbery, 1959
Green Mansions, 1959
The Gunfight at Dodge City, 1959
Gunmen from Laredo, 1959
Guns Girls and Gangsters, 1959
The Hanging Tree, 1959
The Hangman, 1959
Happy Anniversary, 1959
Have Rocket, Will Travel, 1959
Here Come the Jets, 1959
Hey Boy! Hey Girl!, 1959
A Hole in the Head, 1959
Holiday for Lovers, 1959
The Horse Soldiers, 1959
Hound-Dog Man, 1959
House on Haunted Hill, 1959
Imitation of Life, 1959
The Immoral Mr. Teas, 1959
Inside the Mafia, 1959
Invisible Invaders, 1959
Island of Lost Women, 1959
It Happened to Jane, 1959
It Started with a Kiss, 1959
The Jayhawkers!, 1959
Jazz on a Summer's Day, 1959
The Jazz Singer, 1959
Jet Over the Atlantic, 1959
Jet Storm, 1959
John Paul Jones, 1959
The Journey, 1959
Journey to the Center of the Earth, 1959
Juke Box Rhythm, 1959
The Killer Shrews, 1959
King of the Wild Stallions, 1959
The Last Angry Man, 1959
The Last Blitzkrieg, 1959
The Last Mile, 1959
Last Train from Gun Hill, 1959
The Legend of Tom Dooley, 1959
Li'l Abner, 1959
The Little Savage, 1959
Lone Texan, 1959
The Man in the Net, 1959
The Man Who Understood Women, 1959
The Mating Game, 1959
Middle of the Night, 1959
The Miracle, 1959
The Miracle of the Hills, 1959
Miracle on 34th Street, 1959
Muscle Up a Little Closer, 1959
Never So Few, 1959
Never Steal Anything Small, 1959
Night of the Ghouls, 1959
Night of the Quarter Moon, 1959
No Name on the Bullet, 1959
North by Northwest, 1959
The Nun's Story, 1959
Odds Against Tomorrow, 1959
On the Beach, 1959
Operation Dames, 1959
Operation Petticoat, 1959
The Oregon Trail, 1959
Paratroop Command, 1959
Pier 5, Havana, 1959
Pillow Talk, 1959
Plan 9 from Outer Space, 1959
Plunderers of Painted Flats, 1959
Porgy and Bess, 1959
Pork Chop Hill, 1959
Prisoner of the Volga, 1959
A Private's Affair, 1959
Pull My Daisy, 1959
The Rabbit Trap, 1959
The Rebel Set, 1959
The Remarkable Mr. Pennypacker, 1959
Return of the Fly, 1959
Ride Lonesome, 1959
Rio Bravo, 1959
Riot in Juvenile Prison, 1959
The Rookie, 1959
The Sad Horse, 1959
Say One for Me, 1959
The Scapegoat, 1959
Shadows, 1959
The Shaggy Dog, 1959
Shake Hands with the Devil, 1959
Sleeping Beauty, 1959
Solomon and Sheba, 1959
Some Like It Hot, 1959
The Sound and the Fury, 1959
Space Invasion of Lapland, 1959
A Stranger in My Arms, 1959
Suddenly, Last Summer, 1959
A Summer Place, 1959
Surrender - Hell!, 1959
Take a Giant Step, 1959
Tarzan's Greatest Adventure, 1959
Tarzan, the Ape Man, 1959
Teenage Zombies, 1959
Teenagers from Outer Space, 1959
Ten Seconds to Hell, 1959
Terror Is a Man, 1959
That Kind of Woman, 1959
These Thousand Hills, 1959
They Came to Cordura, 1959
Third Man on the Mountain, 1959
This Earth Is Mine, 1959
Thunder in the Sun, 1959
Timbuktu, 1959
The Tingler, 1959
Tokyo After Dark, 1959
The Trap, 1959
Up Periscope, 1959
Verboten!, 1959
Warlock, 1959
Watusi, 1959
The Wasp Woman, 1959
Westbound, 1959
The Wild and the Innocent, 1959
Window Water Baby Moving, 1959
Woman Obsessed, 1959
The Wonderful Country, 1959
The World, the Flesh and the Devil, 1959
The Wreck of the Mary Deare, 1959
Yellowstone Kelly, 1959
The Young Captives, 1959
The Young Land, 1959
The Young Philadelphians, 1959
The 3rd Voice, 1960
5 Branded Women, 1960
12 to the Moon, 1960
13 Fighting Men, 1960
13 Ghosts, 1960
The Adventures of Huckleberry Finn, 1960
The Alamo, 1960
All the Fine Young Cannibals, 1960
All the Young Men, 1960
The Amazing Transparent Man, 1960
The Angel Wore Red, 1960
The Apartment, 1960
Butterfield 8, 1960
Because They're Young, 1960
The Bellboy, 1960
Bells Are Ringing, 1960
Beyond the Time Barrier, 1960
The Big Night, 1960
The Boy and the Pirates, 1960
The Bramble Bush, 1960
A Breath of Scandal, 1960
Cage of Evil, 1960
Can-Can, 1960
The Cape Canaveral Monsters, 1960
Cash McCall, 1960
Chartroose Caboose, 1960
Cimarron, 1960
Cinderfella, 1960
A Circle of Deception, 1960
College Confidential, 1960
Comanche Station, 1960
Crack in the Mirror, 1960
The Crowded Sky, 1960
The Dark at the Top of the Stairs, 1960
Desire in the Dust, 1960
Dinosaurus!, 1960
Elmer Gantry, 1960
Esther and the King, 1960
Exodus, 1960
The Facts of Life, 1960
Five Guns to Tombstone, 1960
Flaming Star, 1960
For the Love of Mike, 1960
Four Fast Guns, 1960
Freckles, 1960
From the Terrace, 1960
G.I. Blues, 1960
The Gallant Hours, 1960
Girl of the Night, 1960
The Grass Is Greener, 1960
Gunfighters of Abilene, 1960
Guns of the Timberland, 1960
Hell Bent for Leather, 1960
Hell to Eternity, 1960
Heller in Pink Tights, 1960
The High Powered Rifle, 1960
High Time, 1960
Home from the Hill, 1960
The Horse with the Flying Tail, 1960
House of Usher, 1960
Hyde and Go Tweet, 1960
The Hypnotic Eye, 1960
I Aim at the Stars, 1960
Ice Palace, 1960
I'll Give My Life, 1960
Inherit the Wind, 1960
It Started in Naples, 1960
Key Witness, 1960
The Last Voyage, 1960
Last Woman on Earth, 1960
The Leech Woman, 1960
Let's Make Love, 1960
Let No Man Write My Epitaph, 1960
The Little Shop of Horrors, 1960
The Lost World, 1960
Macumba Love, 1960
The Magnificent Seven, 1960
Man on a String, 1960
Mice Follies, 1960
Midnight Lace, 1960
Moment of Danger, 1960
The Mountain Road, 1960
Murder, Inc., 1960
The Music Box Kid, 1960
Never on Sunday, 1960
Noose for a Gunman, 1960
North to Alaska, 1960
Ocean's 11, 1960
Oklahoma Territory, 1960
Once More, with Feeling!, 1960
One Foot in Hell, 1960
Pay or Die, 1960
Pepe, 1960
Platinum High School, 1960
Please Don't Eat the Daisies, 1960
The Plunderers, 1960
Pollyanna, 1960
Portrait in Black, 1960
Pretty Boy Floyd, 1960
The Private Lives of Adam and Eve, 1960
Private Property, 1960
The Purple Gang, 1960
Psycho, 1960
The Pusher, 1960
The Rat Race, 1960
Raymie, 1960
The Rise and Fall of Legs Diamond, 1960
The Savage Innocents, 1960
Scent of Mystery, 1960
The Secret of the Purple Reef, 1960
September Storm, 1960
Sergeant Rutledge, 1960
Seven Thieves, 1960
Seven Ways from Sundown, 1960
Sex Kittens Go to College, 1960
Song Without End, 1960
Spartacus, 1960
Squad Car, 1960
Stop!, Look and Laugh, 1960
The Story of Ruth, 1960
Strangers When We Meet, 1960
Studs Lonigan, 1960
The Subterraneans, 1960
Summer of the Seventeenth Doll, 1960
The Sundowners, 1960
Sunrise at Campobello, 1960
Surprise Package, 1960
Swiss Family Robinson, 1960
Switchin' Kitten, 1960
Tall Story, 1960
Tarzan the Magnificent, 1960
A Terrible Beauty, 1960
Tess of the Storm Country, 1960
This Rebel Breed, 1960
The Threat, 1960
The Three Worlds of Gulliver, 1960
Thunder in Carolina, 1960
The Time Machine, 1960
Three Came to Kill, 1960
Toby Tyler, 1960
Too Hot to Handle, 1960
Tormented, 1960
Twelve Hours to Kill, 1960
The Unforgiven, 1960
Valley of the Redwoods, 1960
Vice Raid, 1960
Visit to a Small Planet, 1960
The Wackiest Ship In the Army, 1960
Wake Me When It's Over, 1960
Walk Like a Dragon, 1960
Walk Tall, 1960
The Walking Target, 1960
The Wasp Woman, 1960
Weddings and Babies, 1960
Where the Boys Are, 1960
Who Was That Lady?, 1960
Why Must I Die?, 1960
The Wild Ride, 1960
Wild River, 1960
The World of Suzie Wong, 1960
Young Jesse James, 1960
The Young One, 1960
The Absent-Minded Professor, 1961
Ada, 1961
All in a Night's Work, 1961
All Hands on Deck, 1961
Angel Baby, 1961
Aquamania, 1961
Armored Command, 1961
Atlantis, the Lost Continent, 1961
Babes in Toyland, 1961
Bachelor in Paradise, 1961
Back Street, 1961
Battle at Bloody Beach, 1961
The Beast of Yucca Flats, 1961
Beep Prepared, 1961
The Big Bankroll, 1961
The Big Gamble, 1961
The Big Show, 1961
Blast of Silence, 1961
Bloodlust!, 1961
Blue Hawaii, 1961
Boys Beware, 1961
Breakfast at Tiffany's, 1961
Bridge to the Sun, 1961
By Love Possessed, 1961
The Children's Hour, 1961
Claudelle Inglish, 1961
A Cold Wind in August, 1961
The Comancheros, 1961
Come September, 1961
Creature from the Haunted Sea, 1961
Cry for Happy, 1961
Daffy's Inn Trouble, 1961
The Deadly Companions, 1961
The Devil at 4 O'Clock, 1961
Diary of a Nudist, 1961
Dondi, 1961
Down and Outing, 1961
El Cid, 1961
The Errand Boy, 1961
Everything's Ducky, 1961
The Exiles, 1961
The Explosive Generation, 1961
Fanny, 1961
A Fever in the Blood, 1961
The Fiercest Heart, 1961
Five Golden Hours, 1961
Five Minutes to Live, 1961
Flight of the Lost Balloon, 1961
The Flight That Disappeared, 1961
Flower Drum Song, 1961
Francis of Assisi, 1961
The George Raft Story, 1961
Gidget Goes Hawaiian, 1961
Gold of the Seven Saints, 1961
Goodbye Again, 1961
The Great Impostor, 1961
Gun Fight, 1961
Gun Street, 1961
The Happy Thieves, 1961
Havoc in Heaven, 1961
Hercules in the Haunted World, 1961
Hey, Let's Twist!, 1961
Homicidal, 1961
The Honeymoon Machine, 1961
Hoodlum Priest, 1961
The Hustler, 1961
Judgment at Nuremberg, 1961
King of Kings, 1961
The Ladies Man, 1961
The Last Sunset, 1961
The Last Time I Saw Archie, 1961
The Lawbreakers, 1961
The Little Shepherd of Kingdom Come, 1961
Look in Any Window, 1961
Love in a Goldfish Bowl, 1961
Lover Come Back, 1961
Mad Dog Coll, 1961
A Majority of One, 1961
Man-Trap, 1961
Marines, Let's Go, 1961
The Mark, 1961
The Marriage-Go-Round, 1961
Master of the World, 1961
The Misfits, 1961
A Matter of Morals, 1961
Misty, 1961
Morgan, the Pirate, 1961
Most Dangerous Man Alive, 1961
Mysterious Island, 1961
The Naked Edge, 1961
Night Tide, 1961
Nude on the Moon, 1961
On the Double, 1961
One-Eyed Jacks, 1961
One Hundred and One Dalmatians, 1961
One, Two, Three, 1961
The Outsider, 1961
The Parent Trap, 1961
Paris Blues, 1961
Parrish, 1961
The Phantom Planet, 1961
The Pit and the Pendulum, 1961
The Pleasure of His Company, 1961
Pocketful of Miracles, 1961
Portrait of a Mobster, 1961
Posse from Hell, 1961
Question 7, 1961
A Raisin in the Sun, 1961
Reptilicus, 1961
Return to Peyton Place, 1961
The Right Approach, 1961
Romanoff and Juliet, 1961
The Roman Spring of Mrs. Stone, 1961
Sail a Crooked Ship, 1961
Sanctuary, 1961
The Second Time Around, 1961
The Secret Ways, 1961
The Sergeant Was a Lady, 1961
Seven Women from Hell, 1961
The Sinister Urge, 1961
The Sins of Rachel Cade, 1961
Snow White and the Three Stooges, 1961
Something Wild, 1961
Splendor in the Grass, 1961
The Steel Claw, 1961
Stop, Look and Laugh, 1961
Summer and Smoke, 1961
Susan Slade, 1961
Swingin' Along, 1961
Tammy Tell Me True, 1961
Teenage Millionaire, 1961
Three Blondes in His Life, 1961
A Thunder of Drums, 1961
Too Late Blues, 1961
Town Without Pity, 1961
Twenty Plus Two, 1961
Twist Around the Clock, 1961
Two Loves, 1961
Two Rode Together, 1961
Underworld U.S.A., 1961
Very Nice, Very Nice, 1961
Voyage to the Bottom of the Sea, 1961
War Is Hell, 1961
West Side Story, 1961
Wild in the Country, 1961
The Wizard of Baghdad, 1961
X-15, 1961
You Have to Run Fast, 1961
The Young Doctors, 1961
The Young Savages, 1961
13 West Street, 1962
The 300 Spartans, 1962
40 Pounds of Trouble, 1962
Advise & Consent, 1962
All Fall Down, 1962
Bachelor Flat, 1962
The Bellboy and the Playgirls, 1962
Big Red, 1962
Billy Rose's Jumbo, 1962
Birdman of Alcatraz, 1962
Black Gold, 1962
Bon Voyage!, 1962
Boys' Night Out, 1962
The Brain That Wouldn't Die, 1962
Brushfire, 1962
Buddies Thicker Than Water, 1962
Cape Fear, 1962
The Captive City, 1962
Carmen Get It!, 1962
Carnival of Souls, 1962
The Chapman Report, 1962
The Commies Are Coming, the Commies Are Coming, 1962
Convicts 4, 1962
The Counterfeit Traitor, 1962
The Creation of the Humanoids, 1962
David and Lisa, 1962
Days of Wine and Roses, 1962
Deadly Duo, 1962
Don't Knock the Twist, 1962
Escape from East Berlin, 1962
Escape from Zahrain, 1962
Experiment in Terror, 1962
FBI Code 98, 1962
Five Finger Exercise, 1962
Five Miles to Midnight, 1962
Five Weeks in a Balloon, 1962
Follow that Dream, 1962
Four Horsemen of the Apocalypse, 1962
Freud: The Secret Passion, 1962
Gay Purr-ee, 1962
Gigot, 1962
A Girl Named Tamiko, 1962
Girls! Girls! Girls!, 1962
Gypsy, 1962
Hatari!, 1962
Heaven and Earth Magic, 1962
Hell Is for Heroes, 1962
Hemingway's Adventures of a Young Man, 1962
Hero's Island, 1962
High Steaks, 1962
The Horizontal Lieutenant, 1962
House of Women, 1962
How the West Was Won, 1962
If a Man Answers, 1962
In Search of the Castaways, 1962
The Inspector, 1962
The Interns, 1962
The Intruder, 1962
I Thank a Fool, 1962
It Happened In Athens, 1962
It's Only Money, 1962
Jack the Giant Killer, 1962
Jessica, 1962
The Jet Cage, 1962
Journey to the Seventh Planet, 1962
Kid Galahad, 1962
Lawrence of Arabia, 1962
Light in the Piazza, 1962
The Lion, 1962
Lolita, 1962
Lonely Are the Brave, 1962
Long Day's Journey Into Night, 1962
The Longest Day, 1962
Madison Avenue, 1962
The Main Attraction, 1962
The Man Who Shot Liberty Valance, 1962
The Manchurian Candidate, 1962
The Manster, 1962
Merrill's Marauders, 1962
The Miracle Worker, 1962
Mister Magoo's Christmas Carol, 1962
Moon Pilot, 1962
Mouse Into Space, 1962
Mr. Hobbs Takes a Vacation, 1962
The Music Man, 1962
Mutiny on the Bounty, 1962
My Geisha, 1962
No Exit, 1962
No Man Is an Island, 1962
The Notorious Landlady, 1962
The Nun and the Sergeant, 1962
Only Two Can Play, 1962
Panic in Year Zero!, 1962
Period of Adjustment, 1962
Phaedra, 1962
The Pigeon That Took Rome, 1962
Pontius Pilate, 1962
Premature Burial, 1962
Pressure Point, 1962
Red Nightmare, 1962
The Reluctant Saint, 1962
Requiem for a Heavyweight, 1962
Ride the High Country, 1962
The Ring of Terror, 1962
The Road to Hong Kong, 1962
Rome Adventure, 1962
Safe at Home!, 1962
Satan in High Heels, 1962
Satan Never Sleeps, 1962
Sergeants 3, 1962
Six Black Horses, 1962
Sodom and Gomorrah, 1962
Something's Got to Give, 1962
The Spiral Road, 1962
Stagecoach to Dancers' Rock, 1962
Stark Fear, 1962
State Fair, 1962
Sweet Bird of Youth, 1962
A Symposium on Popular Songs, 1962
Tales of Terror, 1962
Taras Bulba, 1962
Tarzan Goes to India, 1962
Tender Is the Night, 1962
That Touch of Mink, 1962
The Three Stooges Meet Hercules, 1962
The Three Stooges in Orbit, 1962
To Kill a Mockingbird, 1962
Tonight for Sure, 1962
Too Late Blues, 1962
Tower of London, 1962
The Trial, 1962
Two for the Seesaw, 1962
Two Weeks in Another Town, 1962
A View from the Bridge, 1962
Walk on the Wild Side, 1962
War Hunt, 1962
The War Lover, 1962
What Ever Happened to Baby Jane?, 1962
Who's Got the Action?, 1962
Wild Guitar, 1962
The Wild Westerners, 1962
The Wonderful World of the Brothers Grimm, 1962
The World's Greatest Sinner, 1962
Zotz!, 1962
4 for Texas, 1963
55 Days at Peking, 1963
Act One, 1963
All the Way Home, 1963
America, America, 1963
Atom Age Vampire, 1963
The Balcony, 1963
Beach Party, 1963
The Birds, 1963
Blonde Cobra, 1963
Blood Feast, 1963
Bye Bye Birdie, 1963
Cairo, 1963
California, 1963
Call Me Bwana, 1963
Captain Newman, M.D., 1963
The Cardinal, 1963
The Caretakers, 1963
Charade, 1963
A Child Is Waiting, 1963
Cleopatra, 1963
Come Blow Your Horn, 1963
Come Fly with Me, 1963
The Comedy of Terrors, 1963
The Cool World, 1963
The Courtship of Eddie's Father, 1963
The Crawling Hand, 1963
Critic's Choice, 1963
Cry of Battle, 1963
Dementia 13, 1963
Diamond Head, 1963
Diary of a Madman, 1963
Donovan's Reef, 1963
Drums of Africa, 1963
Eat, 1963
Face in the Rain, 1963
Five Minutes to Love, 1963
Flaming Creatures, 1963
Flipper, 1963
Follow the Boys, 1963
For Love or Money, 1963
Free, White and 21, 1963
Fun in Acapulco, 1963
A Gathering of Eagles, 1963
Gidget Goes to Rome, 1963
The Girl Hunters, 1963
Goldilocks and the Three Bares, 1963
The Great Escape, 1963
Gunfight at Comanche Creek, 1963
The Haunted Palace, 1963
The Haunting, 1963
The Hook, 1963
Hud, 1963
I Could Go On Singing, 1963
In the Cool of the Day, 1963
The Incredible Journey, 1963
Irma la Douce, 1963
Island of Love, 1963
It Happened at the World's Fair, 1963
It's a Mad, Mad, Mad, Mad World, 1963
Jason and the Argonauts, 1963
Johnny Cool, 1963
Kings of the Sun, 1963
Ladybug Ladybug, 1963
Lancelot and Guinevere, 1963
Law of the Lawless, 1963
Lilies of the Field, 1963
The List of Adrian Messenger, 1963
The Long Ships, 1963
Love Is a Ball, 1963
Love with the Proper Stranger, 1963
The Man from the Diner's Club, 1963
Maniac, 1963
Mary, Mary, 1963
McLintock!, 1963
Miracle of the White Stallions, 1963
Move Over, Darling, 1963
My Six Loves, 1963
A New Kind of Love, 1963
Nine Hours to Rama, 1963
The Nutty Professor, 1963
Of Love and Desire, 1963
The Old Dark House, 1963
One Got Fat, 1963
One Man's Way, 1963
Operation Bikini, 1963
PT 109, 1963
Palm Springs Weekend, 1963
Papa's Delicate Condition, 1963
Pent-House Mouse, 1963
The Pink Panther, 1963
The Prize, 1963
Promises! Promises!, 1963
The Raiders, 1963
Rampage, 1963
The Raven, 1963
The Sadist, 1963
Shock Corridor, 1963
Showdown, 1963
The Skydivers, 1963
Sleep, 1963
The Slime People, 1963
Sodom and Gomorrah, 1963
Soldier in the Rain, 1963
Son of Flubber, 1963
Spencer's Mountain, 1963
Stolen Hours, 1963
The Stripper, 1963
Summer Magic, 1963
Sunday in New York, 1963
The Sword in the Stone, 1963
Take Her, She's Mine, 1963
Tammy and the Doctor, 1963
Tarzan's Three Challenges, 1963
The Terror, 1963
They Saved Hitler's Brain, 1963
The Three Stooges Go Around the World in a Daze, 1963
The Thrill of It All, 1963
Thunder Island, 1963
A Ticklish Affair, 1963
To Beep or Not to Beep, 1963
Toys in the Attic, 1963
Transylvania 6-5000, 1963
Twice-Told Tales, 1963
Twilight of Honor, 1963
The Ugly American, 1963
Under the Yum Yum Tree, 1963
Violated Paradise, 1963
The V.I.P.s, 1963
The Victors, 1963
Wall of Noise, 1963
What's a Nice Girl Like You Doing in a Place Like This?, 1963
The Wheeler Dealers, 1963
Who's Been Sleeping in My Bed?, 1963
Who's Minding the Store?, 1963
Wives and Lovers, 1963
X: The Man with the X-ray Eyes, 1963
The Yellow Canary, 1963
The Young and the Brave, 1963
The Young Swingers, 1963
3 Nuts in Search of a Bolt, 1964
633 Squadron, 1964
7 Faces of Dr. Lao, 1964
Advance to the Rear, 1964
The Americanization of Emily, 1964
Back Door to Hell, 1964
Batman Dracula, 1964
Becket, 1964
Bedtime Story, 1964
Behold a Pale Horse, 1964
The Best Man, 1964
Bikini Beach, 1964
Black Like Me, 1964
Blood on the Arrow, 1964
The Brass Bottle, 1964
Bullet for a Badman, 1964
Carol for Another Christmas, 1964
The Carpetbaggers, 1964
The Cavern, 1964
Cheyenne Autumn, 1964
Circus World, 1964
The Comedy of Terrors, 1964
Crack in the World, 1964
The Creeping Terror, 1964
Dark Purpose, 1964
Dead Ringer, 1964
Dear Heart, 1964
Devil Doll, 1964
The Disorderly Orderly, 1964
A Distant Trumpet, 1964
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, 1964
Dumb Patrol, 1964
Empire, 1964
Ensign Pulver, 1964
The Eyes of Annie Jones, 1964
Face of the Screaming Werewolf, 1964
Fail-Safe, 1964
The Fall of the Roman Empire, 1964
False Hare, 1964
Fanny Hill, 1964
Fate Is the Hunter, 1964
Father Goose, 1964
Firelight, 1964
First Men in the Moon, 1964
The Flesh Eaters, 1964
Flight from Ashiya, 1964
Flight to Fury, 1964
Flipper's New Adventure, 1964
For Those Who Think Young, 1964
Get Yourself a College Girl, 1964
A Global Affair, 1964
